mode,w,maxd,mind,rhi,vol,rs,base,add,adds,avg_ret,avg_bh,avg_excess,median_excess,min_excess,hit20,hit0,avg_exp,avg_trades,avg_dd,worst,amd_ret,amd_bh,amd_excess,score
any,1,0.2,0,75,False,20,1.0,0.0,0,0.41442870487206607,6.735986927741385,-6.321558222869319,-3.1019837064265845,-15.119200251176292,0.0,0.0,0.34114583333333337,34.875,-0.20259865529746096,-0.1612439017527234,0.03416250347573979,2.734703320191721,-2.7005408167159812,-7.919474954868262
any,3,0.2,0,75,False,20,1.0,0.0,0,0.41442870487206607,6.735986927741385,-6.321558222869319,-3.1019837064265845,-15.119200251176292,0.0,0.0,0.34114583333333337,34.875,-0.20259865529746096,-0.1612439017527234,0.03416250347573979,2.734703320191721,-2.7005408167159812,-7.919474954868262
any,3,0.2,0,75,False,20,0.5,0.25,2,0.37919245356833575,6.735986927741385,-6.356794474173049,-3.108120238845185,-15.192909099138998,0.0,0.0,0.34134615384615385,34.75,-0.1889034804209575,-0.1675470628028642,0.07729388688980143,2.734703320191721,-2.657409433301919,-7.952281370379409
any,1,0.2,0,75,False,20,0.5,0.25,2,0.37919245356833575,6.735986927741385,-6.356794474173049,-3.108120238845185,-15.192909099138998,0.0,0.0,0.34134615384615385,34.75,-0.1889034804209575,-0.1675470628028642,0.07729388688980143,2.734703320191721,-2.657409433301919,-7.952281370379409
any,1,0.2,0,75,False,20,0.33,0.33,2,0.3740705741076541,6.735986927741385,-6.361916353633731,-3.1161522889605235,-15.217237237305678,0.0,0.0,0.3409455128205128,34.75,-0.17676655836408095,-0.17066357959892395,0.1762920447523626,2.734703320191721,-2.558411275439358,-7.956604570177574
any,3,0.2,0,75,False,20,0.33,0.33,2,0.3740705741076541,6.735986927741385,-6.361916353633731,-3.1161522889605235,-15.217237237305678,0.0,0.0,0.3409455128205128,34.75,-0.17676655836408095,-0.17066357959892395,0.1762920447523626,2.734703320191721,-2.558411275439358,-7.956604570177574
any,3,0.2,0,75,False,20,0.25,0.25,3,0.3752215001891275,6.735986927741385,-6.360765427552257,-3.136957250543872,-15.195112832325936,0.0,0.0,0.3407451923076923,34.75,-0.1683136280284394,-0.17065527015246823,0.1633142177533775,2.734703320191721,-2.571389102438343,-7.962494984804801
any,1,0.2,0,75,False,20,0.25,0.25,3,0.3752215001891275,6.735986927741385,-6.360765427552257,-3.136957250543872,-15.195112832325936,0.0,0.0,0.3407451923076923,34.75,-0.1683136280284394,-0.17065527015246823,0.1633142177533775,2.734703320191721,-2.571389102438343,-7.962494984804801
any,1,0.2,0,75,False,any,1.0,0.0,0,0.3929901301005101,6.735986927741385,-6.342996797640875,-3.16359479600625,-15.038623513972032,0.0,0.0,0.3519631410256411,35.75,-0.2046364115429613,-0.16124390175272335,0.03416250347573979,2.734703320191721,-2.7005408167159812,-7.971452446158621
ema_or_high,1,0.2,0,75,False,any,1.0,0.0,0,0.3929901301005101,6.735986927741385,-6.342996797640875,-3.16359479600625,-15.038623513972032,0.0,0.0,0.3519631410256411,35.75,-0.2046364115429613,-0.16124390175272335,0.03416250347573979,2.734703320191721,-2.7005408167159812,-7.971452446158621
any,5,0.2,0,75,False,any,1.0,0.0,0,0.3929901301005101,6.735986927741385,-6.342996797640875,-3.16359479600625,-15.038623513972032,0.0,0.0,0.3519631410256411,35.75,-0.2046364115429613,-0.16124390175272335,0.03416250347573979,2.734703320191721,-2.7005408167159812,-7.971452446158621
ema_or_high,1,0.2,0,75,False,any,0.33,0.33,2,0.3633839448695113,6.735986927741385,-6.372602982871873,-3.145812368159297,-15.198719663694463,0.0,0.0,0.3519631410256411,35.625,-0.1814743523870057,-0.1706635795989242,0.1762920447523626,2.734703320191721,-2.558411275439358,-7.98290259380376
any,5,0.2,0,75,False,any,0.33,0.33,2,0.3633839448695113,6.735986927741385,-6.372602982871873,-3.145812368159297,-15.198719663694463,0.0,0.0,0.3519631410256411,35.625,-0.1814743523870057,-0.1706635795989242,0.1762920447523626,2.734703320191721,-2.558411275439358,-7.98290259380376
any,1,0.2,0,75,False,any,0.33,0.33,2,0.3633839448695113,6.735986927741385,-6.372602982871873,-3.145812368159297,-15.198719663694463,0.0,0.0,0.3519631410256411,35.625,-0.1814743523870057,-0.1706635795989242,0.1762920447523626,2.734703320191721,-2.558411275439358,-7.98290259380376
ema_or_high,1,0.2,0,75,False,any,0.5,0.25,2,0.36494562543707165,6.735986927741385,-6.371041302304313,-3.1417942953892197,-15.158905337873318,0.0,0.0,0.35216346153846156,35.625,-0.19496549485842263,-0.16754706280286452,0.07729388688980143,2.734703320191721,-2.657409433301919,-7.984708301788445
any,5,0.2,0,75,False,any,0.5,0.25,2,0.36494562543707165,6.735986927741385,-6.371041302304313,-3.1417942953892197,-15.158905337873318,0.0,0.0,0.35216346153846156,35.625,-0.19496549485842263,-0.16754706280286452,0.07729388688980143,2.734703320191721,-2.657409433301919,-7.984708301788445
any,1,0.2,0,75,False,any,0.5,0.25,2,0.36494562543707165,6.735986927741385,-6.371041302304313,-3.1417942953892197,-15.158905337873318,0.0,0.0,0.35216346153846156,35.625,-0.19496549485842263,-0.16754706280286452,0.07729388688980143,2.734703320191721,-2.657409433301919,-7.984708301788445
ema_or_high,5,0.2,0,75,False,any,1.0,0.0,0,0.38190656889590013,6.735986927741385,-6.354080358845485,-3.1902142796846094,-15.038623513972032,0.0,0.0,0.35056089743589747,35.625,-0.20805568107730196,-0.16124390175272335,0.03416250347573979,2.734703320191721,-2.7005408167159812,-7.99735368137512
any,1,0.2,0,75,False,any,0.25,0.25,3,0.3575836578809388,6.735986927741385,-6.378403269860446,-3.1857543627471894,-15.180254538012072,0.0,0.0,0.3519631410256411,35.625,-0.17526041215652494,-0.17065527015246829,0.1633142177533775,2.734703320191721,-2.571389102438343,-8.006188301994086
ema_or_high,1,0.2,0,75,False,any,0.25,0.25,3,0.3575836578809388,6.735986927741385,-6.378403269860446,-3.1857543627471894,-15.180254538012072,0.0,0.0,0.3519631410256411,35.625,-0.17526041215652494,-0.17065527015246829,0.1633142177533775,2.734703320191721,-2.571389102438343,-8.006188301994086
any,5,0.2,0,75,False,any,0.25,0.25,3,0.3575836578809388,6.735986927741385,-6.378403269860446,-3.1857543627471894,-15.180254538012072,0.0,0.0,0.3519631410256411,35.625,-0.17526041215652494,-0.17065527015246829,0.1633142177533775,2.734703320191721,-2.571389102438343,-8.006188301994086
ema_or_high,5,0.2,0,75,False,any,0.25,0.25,3,0.35537401118885537,6.735986927741385,-6.380612916552529,-3.1953687420262296,-15.180254538012072,0.0,0.0,0.35056089743589747,35.5,-0.17679251217004488,-0.17065527015246829,0.1633142177533775,2.734703320191721,-2.571389102438343,-8.013958202690072
ema_or_high,5,0.2,0,75,False,any,0.33,0.33,2,0.3517972563776952,6.735986927741385,-6.384189671363689,-3.1879116510195566,-15.198719663694463,0.0,0.0,0.35056089743589747,35.5,-0.18644740165388263,-0.1706635795989242,0.1762920447523626,2.734703320191721,-2.558411275439358,-8.017668367791432
ema_or_high,5,0.2,0,75,False,any,0.5,0.25,2,0.3533325178429185,6.735986927741385,-6.382654409898466,-3.182603279947843,-15.158905337873318,0.0,0.0,0.35076121794871795,35.5,-0.19960890579144708,-0.16754706280286452,0.07729388688980143,2.734703320191721,-2.657409433301919,-8.018723490394095
any,3,0.16,0,70,False,any,0.5,0.25,2,0.32444841338593783,6.735986927741385,-6.411538514355447,-3.157894298329028,-15.158905337873318,0.0,0.0,0.3435496794871795,35.125,-0.20566518852638993,-0.16754706280286452,0.057561376619400306,2.734703320191721,-2.6771419435723205,-8.0383967709818
